question,entity,time,answer
Which employer did Jaroslav Pelikan work for right after January 1953?,Jaroslav Pelikan,1953-01,University of Chicago
Which team did Glynn Snodin play for right after January 1995?,Glynn Snodin,1995-01,Gainsborough Trinity F.C.
Which employer did Eduard Winkelmann work for right after January 1869?,Eduard Winkelmann,1869-01,University of Bern
Which team did Nenad Panić play for right after January 2002?,Nenad Panić,2002-01,Red Star Belgrade
Which team did Nenad Panić play for right after January 2009?,Nenad Panić,2009-01,FK Javor Ivanjica
Who was the head coach of the team HNK Rijeka right after February 2021?,HNK Rijeka,2021-02,Goran Tomić
Who was the head coach of the team HNK Rijeka right after May 2022?,HNK Rijeka,2022-05,Fausto Budicin
Which employer did Dominique Kalifa work for right after January 2000?,Dominique Kalifa,2000-01,University of Rennes 2 – Upper Brittany
Which employer did Dominique Kalifa work for right after January 2002?,Dominique Kalifa,2002-01,University of Paris 1 Pantheon-Sorbonne
Which employer did François Pachet work for right after January 1997?,François Pachet,1997-01,Sony Computer Science Laboratories Paris
Which employer did Eliakim Hastings Moore work for right after January 1892?,Eliakim Hastings Moore,1892-01,University of Chicago
Which position did Clement Kinloch-Cooke hold right after November 1910?,Clement Kinloch-Cooke,1910-11,Member of the 30th Parliament of the United Kingdom
Which position did Clement Kinloch-Cooke hold right after November 1918?,Clement Kinloch-Cooke,1918-11,Member of the 31st Parliament of the United Kingdom
Which position did Clement Kinloch-Cooke hold right after October 1922?,Clement Kinloch-Cooke,1922-10,Member of the 32nd Parliament of the United Kingdom
Which position did Clement Kinloch-Cooke hold right after November 1923?,Clement Kinloch-Cooke,1923-11,Member of the 34th Parliament of the United Kingdom
Which position did Cecil Clementi hold right after October 1925?,Cecil Clementi,1925-10,Governor of Hong Kong
Which employer did Michaela Pereira work for right after January 2004?,Michaela Pereira,2004-01,KTLA
Which employer did Michaela Pereira work for right after January 2016?,Michaela Pereira,2016-01,KTTV
Where was Prasanta Chandra Mahalanobis educated right after January 1908?,Prasanta Chandra Mahalanobis,1908-01,Presidency University
