answer,Event
1801-03-04,Thomas Jefferson inaugurated as 3rd U.S. President
1803-04-30,Louisiana Purchase treaty signed
1804-12-02,Napoleon crowns himself Emperor of France
1805-12-02,Battle of Austerlitz
1807-03-25,UK Slave Trade Abolition Act takes effect
1812-06-18,United States declares war on Britain
1814-05-30,Treaty of Paris ends Napoleonic Wars
1815-06-18,Battle of Waterloo
1819-01-29,Stamford Raffles establishes Singapore
1821-09-27,Mexico gains independence from Spain
1824-05-07,Beethoven’s Ninth Symphony premieres
1825-08-06,Bolivia declares independence
1830-07-27,July Revolution begins in France
1832-06-07,First Reform Act passed in Britain
1836-03-06,Fall of the Alamo
1837-06-20,Queen Victoria becomes monarch
1845-12-29,Texas admitted as U.S. state
1848-02-23,Revolutions of 1848 begin in France
1848-07-19,Seneca Falls Convention opens
1850-09-09,California becomes 31st U.S. state
1851-05-01,Great Exhibition opens in London
1853-03-30,Van Gogh born
1854-10-25,Charge of the Light Brigade
1857-05-10,Sepoy Mutiny begins in India
1861-04-12,Civil War begins at Fort Sumter
1863-01-01,Emancipation Proclamation issued
1865-04-09,Lee surrenders at Appomattox
1865-04-14,Lincoln assassinated
1867-03-30,Alaska Purchase treaty signed
1869-11-17,Suez Canal officially opened
1870-07-19,Franco-Prussian War begins
1871-01-18,German Empire proclaimed
1876-06-25,Battle of Little Bighorn
1876-03-07,Bell receives telephone patent
1881-03-13,Tsar Alexander II assassinated
1883-05-24,Brooklyn Bridge opens
1885-02-26,Berlin Conference closes
1886-05-01,Haymarket protests begin
1888-08-31,First Jack the Ripper canonical murder
1896-04-06,First modern Olympics open
1898-04-21,Spanish–American War begins
1900-09-07,Boxer Rebellion ends with protocol
1901-01-22,Death of Queen Victoria
1903-12-17,Wright brothers’ first flight
1905-01-22,Bloody Sunday in Russia
1906-04-18,San Francisco earthquake
1912-04-15,Sinking of the Titanic
1914-06-28,Assassination of Archduke Franz Ferdinand
1914-07-28,World War I begins
1916-07-01,Battle of the Somme begins
1917-11-07,October Revolution in Russia
1918-11-11,Armistice ends World War I
1919-06-28,Treaty of Versailles signed
1922-11-26,Tutankhamun tomb opened
1927-05-20,Lindbergh begins Atlantic flight
1928-09-28,Fleming discovers penicillin
1929-10-24,Black Thursday stock market crash
1931-05-01,Empire State Building opens
1933-01-30,Hitler appointed Chancellor
1936-08-01,Berlin Olympics open
1937-05-06,Hindenburg disaster
1939-09-01,World War II begins
1940-06-22,France signs armistice with Germany
1941-12-07,Attack on Pearl Harbor
1942-08-23,Battle of Stalingrad begins
1944-06-06,D-Day Normandy landings
1945-04-30,Hitler dies
1945-08-06,Atomic bomb dropped on Hiroshima
1945-10-24,United Nations founded
1947-08-15,India and Pakistan independence
1948-05-14,State of Israel declared
1949-04-04,NATO founded
1950-06-25,Korean War begins
1953-06-02,Coronation of Queen Elizabeth II
1953-12-23,Watson & Crick DNA model published
1954-05-17,Brown v. Board decision
1955-12-01,Rosa Parks arrested
1957-10-04,Sputnik launched
1958-07-29,NASA founded
1959-01-01,Castro seizes Havana
1961-04-12,Yuri Gagarin reaches space
1962-10-16,Cuban Missile Crisis begins
1963-11-22,John F. Kennedy assassinated
1964-07-02,U.S. Civil Rights Act signed
1967-06-05,Six-Day War begins
1968-04-04,Martin Luther King Jr. assassinated
1969-07-20,Apollo 11 Moon landing
1971-11-15,Intel 4004 announced
1972-06-17,Watergate break-in
1973-01-22,Roe v. Wade decision
1975-04-30,Fall of Saigon
1976-04-01,Apple Computer founded
1978-09-17,Camp David Accords signed
1979-02-11,Iranian Revolution declared
1981-04-12,Space Shuttle Columbia’s first flight
1982-04-02,Falklands War begins
1986-04-26,Chernobyl disaster
1989-11-09,Berlin Wall opens
1990-02-11,Nelson Mandela released
1991-12-26,Soviet Union dissolved
