question,entity,event,answer
Which album was launched by LP band immediately prior to Minutes to Midnight?,LP band,Minutes to Midnight,Meteora
Which album did Linkin Park propagate just before Minutes to Midnight?,Linkin Park,Minutes to Midnight,Meteora
Which album did Linkin Park disclose right before the success of the album Meteora?,Linkin Park,the success of the album Meteora,Hybrid Theory
Which album was announced by LP just previous to Meteora?,LP,Meteora,Hybrid Theory
Which album was released by Linkin Park just before Living Things?,Linkin Park,Living Things,A thousand Suns
Which album did Linkin Park release immediately before the album Living Things?,Linkin Park,the album Living Things,A thousand Suns
Which album was launched by LP band immediately prior to One More Light?,LP band,One More Light,The Hunting Party
Which album did Linkin Park propagate just before One More Light?,Linkin Park,One More Light,The Hunting Party
Which album was announced by LP just previous to Meteora?,LP,Meteora,Hybrid Theory
Which album did Linkin Park disclose right before the success of the album Minutes to Midnight?,Linkin Park,the success of the album Minutes to Midnight,Meteora
Which album did American band LP release right before album Minutes to Midnight?,American band LP,album Minutes to Midnight,Meteora
Which album did American band LP release right before album A thousand Suns?,American band LP,album A thousand Suns,Minutes to Midnight
Which album was announced by LP just previous to A thousand Suns?,LP,A thousand Suns,Minutes to Midnight
Which album did American band LP release right before album Minutes to Midnight?,American band LP,album Minutes to Midnight,Meteora
Which album did Linkin Park propagate just before Minutes to Midnight?,Linkin Park,Minutes to Midnight,Meteora
Which album did Linkin Park release immediately before the album Meteora?,Linkin Park,the album Meteora,Hybrid Theory
Which album was announced by LP just previous to Meteora?,LP,Meteora,Hybrid Theory
Which album did Linkin Park release immediately before the album One More Light?,Linkin Park,the album One More Light,The Hunting Party
Which album was announced by LP just previous to One More Light?,LP,One More Light,The Hunting Party
Which album was released by Linkin Park just before A thousand Suns?,Linkin Park,A thousand Suns,Minutes to Midnight
Which album did Linkin Park propagate just before A thousand Suns?,Linkin Park,A thousand Suns,Minutes to Midnight
Which album was propagated by Linkin Park preceded by Minutes to Midnight?,Linkin Park,Minutes to Midnight,A thousand Suns
